2023-11-19 09:43:13,R_2Y3a0rHu2QpGqE9,Extremely difficult,Extremely difficult,Extremely difficult,Extremely difficult,Extremely difficult,Extremely dissatisfied,Extremely confusing,Kept running into the error that the conversation already exists 
2023-11-19 09:44:24,R_Z8frbbHvtm3rS9z,Extremely difficult,Extremely difficult,Extremely difficult,Extremely easy,Extremely easy,Somewhat satisfied,Somewhat intuitive,Would not allow me to create conversations 
2023-11-19 09:45:30,R_3hhIxuxF8SozkHb,Somewhat easy,Extremely easy,Somewhat easy,Extremely easy,Extremely easy,Somewhat satisfied,Somewhat intuitive,Great job
2023-11-19 09:45:50,R_3Oig5aBWeniVDkK,Extremely easy,Extremely difficult,Somewhat difficult,Somewhat easy,Extremely easy,Somewhat dissatisfied,Somewhat confusing,Email was not working for making the conversations
2023-11-19 09:46:39,R_1qUMZTEzeCjNCXr,Extremely easy,Extremely difficult,Somewhat difficult,Extremely easy,Extremely easy,Somewhat satisfied,Extremely intuitive,The messages tab allows me to put in the email but a conversation doesn’t show up 
2023-11-19 09:50:58,R_eh2CKxvNecSubL3,Extremely easy,,,Extremely easy,Extremely easy,Extremely satisfied,Extremely intuitive,
2023-11-19 09:51:08,R_ebsGaMMVa56qbux,Neither easy nor difficult,Neither easy nor difficult,,Extremely easy,Extremely easy,Neither satisfied nor dissatisfied,Somewhat confusing,
2023-11-19 09:51:39,R_YXiJwNT5DWyBzB7,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Somewhat satisfied,Somewhat intuitive,
2023-11-19 09:52:35,R_2YX8dPgzQKFyJ9l,Neither easy nor difficult,,,Extremely easy,Extremely easy,Somewhat satisfied,Somewhat intuitive,"Was unable to complete first portion, the rest was easy to follow"
2023-11-19 09:55:09,R_sB9cHT7VKeIrBbr,Somewhat easy,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Somewhat satisfied,Somewhat intuitive,
2023-11-19 09:55:27,R_3irFoiQQTfTpHw1,Somewhat easy,Extremely difficult,Somewhat easy,Extremely difficult,Somewhat easy,Somewhat dissatisfied,Extremely intuitive,
2023-11-19 09:56:17,R_1GP6roXgVlKNfyy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely satisfied,Somewhat intuitive,
2023-11-19 10:01:04,R_29m3XgE3Wh5uBhs,Extremely difficult,Extremely difficult,Extremely difficult,Extremely easy,Extremely easy,Somewhat satisfied,Somewhat intuitive,
2023-11-19 10:05:44,R_NVYBeCrrQnL8bND,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Extremely easy,Extremely satisfied,Somewhat intuitive,
